"title","titlelink","price","room","roomlink","area","arealink","person","personlink","updated_at"
"0989929991 JMD Gardens gurgaon for sale 0989929991","http://gurgaon.quikr.com/0989929991-JMD-Gardens-gurgaon-for-sale-0989929991-W0QQAdIdZ166723326","Contact for Price","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Golf Course Road","http://gurgaon.quikr.com/Apartments-For-Sale/Golf-Course-Road/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","4 hours ago"
"society flat available in gurgaon in good prize","http://gurgaon.quikr.com/society-flat-available-in-gurgaon-in-good-prize-W0QQAdIdZ92145827","Contact for Price","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In DLF Phase 4","http://gurgaon.quikr.com/Apartments-For-Sale/DLF-Phase-4/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","4 hours ago"
"Gurgaon 21 vatika sec-83","http://gurgaon.quikr.com/Gurgaon-21-vatika-sec-83-W0QQAdIdZ165090344","Rs 81,40,400","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sector 80","http://gurgaon.quikr.com/Apartments-For-Sale/Sector-80/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","4 hours ago"
"AMBIENCE CREACIONS NEW LAUNCH SECTOR 22 GURGAON CALL US...","http://gurgaon.quikr.com/AMBIENCE-CREACIONS-NEW-LAUNCH-SECTOR-22-GURGAON-CALL-US-9811352892-W0QQAdIdZ166722047","Rs 3,50,00,000","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In DLF Phase 2","http://gurgaon.quikr.com/Apartments-For-Sale/DLF-Phase-2/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","5 hours ago"
"Original Bookin in Trehan Delight Residency, hurry to a...","http://gurgaon.quikr.com/Original-Bookin-in-Trehan-Delight-Residency-hurry-to-avail-inaugural-discount-W0QQAdIdZ165664391","Rs 17,20,000","2 BHK","http://gurgaon.quikr.com/2-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Bhiwadi","http://gurgaon.quikr.com/Apartments-For-Sale/Bhiwadi/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","5 hours ago"
"bptp spacio 2 bed room 1000.00 sq ft @4400/- with max. ...","http://gurgaon.quikr.com/bptp-spacio-2-bed-room-1000.00-sq-ft-4400-with-max.-white-W0QQAdIdZ166721524","Rs 4,400","2 BHK","http://gurgaon.quikr.com/2-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sector 37d","http://gurgaon.quikr.com/Apartments-For-Sale/Sector-37d/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","5 hours ago"
"BPTP Spacio 1225 sq ft at just 4150/- max. white deal.....","http://gurgaon.quikr.com/BPTP-Spacio-1225-sq-ft-at-just-4150-max.-white-deal.-W0QQAdIdZ166721068","Rs 4,150","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sector 37d","http://gurgaon.quikr.com/Apartments-For-Sale/Sector-37d/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","5 hours ago"
"09810400016 sale 2 bhk ashiana aangan neemran on nh-8 n...","http://gurgaon.quikr.com/09810400016-sale-2-bhk-ashiana-aangan-neemran-on-nh-8-neemrana-W0QQAdIdZ164034404","Rs 3,100","2 BHK","http://gurgaon.quikr.com/2-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Alawardi Sarai","http://gurgaon.quikr.com/Apartments-For-Sale/Alawardi-Sarai/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","5-Apr-14"
"Sec-52 Golf Course Road Gurgaon,Sec-55,Sec-56,Sec-57","http://gurgaon.quikr.com/Sec-52-Golf-Course-Road-Gurgaon-Sec-55-Sec-56-Sec-57-W0QQAdIdZ144633321","Rs 1,60,00,000","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sector 52","http://gurgaon.quikr.com/Apartments-For-Sale/Sector-52/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","25-Apr-14"
"09810400016 sale 2 bhk ashiana aangan neemran on nh-8 n...","http://gurgaon.quikr.com/09810400016-sale-2-bhk-ashiana-aangan-neemran-on-nh-8-neemrana-W0QQAdIdZ164823653","Contact for Price","2 BHK","http://gurgaon.quikr.com/2-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Alawardi Sarai","http://gurgaon.quikr.com/Apartments-For-Sale/Alawardi-Sarai/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","13-Apr-14"
